i,j,len,sfc,err
0, 0, 8.458852238303601, 0.1723325479636486, 1.0351537121280927
0, 1, 8.458852238303601, 0.18956580276001347, 1.1555886893596063
0, 2, 8.458852238303601, 0.2067990575563783, 0.99870272162649
0, 3, 8.458852238303601, 0.2240323123527432, 1.1233258185135822
0, 4, 8.458852238303601, 0.24126556714910805, 0.9638927657249483
0, 5, 8.458852238303601, 0.2584988219454729, 1.0479152268956757
0, 6, 8.458852238303601, 0.2757320767418378, 0.8786068504694395
0, 7, 8.458852238303601, 0.29296533153820264, 0.8169166193917846
0, 8, 8.458852238303601, 0.3101985863345675, 0.8098111761156631
0, 9, 8.458852238303601, 0.3274318411309323, 0.7750198188491385
0, 10, 8.458852238303601, 0.3446650959272972, 0.7405502689879688
0, 11, 8.458852238303601, 0.3618983507236621, 0.7059273517888583
0, 12, 8.458852238303601, 0.37913160552002695, 0.6705385067430794
0, 13, 8.458852238303601, 0.3963648603163918, 0.6360742808884519
0, 14, 8.458852238303601, 0.4135981151127566, 0.577308820933477
0, 15, 8.458852238303601, 0.4308313699091215, 0.5445639662336565
0, 16, 8.458852238303601, 0.4480646247054864, 0.5117550380417334
0, 17, 8.458852238303601, 0.46529787950185125, 0.4716796764631568
0, 18, 8.458852238303601, 0.4825311342982161, 0.44147409193244397
0, 19, 8.458852238303601, 0.49976438909458093, 0.41079978879078327
1, 0, 9.304737462133962, 0.1723325479636486, 0.8628084903311036
1, 1, 9.304737462133962, 0.18956580276001347, 0.9799720819043323
1, 2, 9.304737462133962, 0.2067990575563783, 0.8566210659930251
1, 3, 9.304737462133962, 0.2240323123527432, 0.8280325529371778
1, 4, 9.304737462133962, 0.24126556714910805, 0.796074212942397
1, 5, 9.304737462133962, 0.2584988219454729, 0.7703593865252253
1, 6, 9.304737462133962, 0.2757320767418378, 0.7393371190032503
1, 7, 9.304737462133962, 0.29296533153820264, 0.7080391596513967
1, 8, 9.304737462133962, 0.3101985863345675, 0.65636537084064
1, 9, 9.304737462133962, 0.3274318411309323, 0.6257020927359068
1, 10, 9.304737462133962, 0.3446650959272972, 0.5561293401815898
1, 11, 9.304737462133962, 0.3618983507236621, 0.6327771562527125
1, 12, 9.304737462133962, 0.37913160552002695, 0.5892413356131297
1, 13, 9.304737462133962, 0.3963648603163918, 0.5351587948229952
1, 14, 9.304737462133962, 0.4135981151127566, 0.48168186311267636
1, 15, 9.304737462133962, 0.4308313699091215, 0.40296818810954504
1, 16, 9.304737462133962, 0.4480646247054864, 0.3734312993878135
1, 17, 9.304737462133962, 0.46529787950185125, 0.34434269802364326
1, 18, 9.304737462133962, 0.4825311342982161, 0.31654002697548445
1, 19, 9.304737462133962, 0.49976438909458093, 0.2928280190303391
2, 0, 10.15062268596432, 0.1723325479636486, 0.8118888404842747
2, 1, 10.15062268596432, 0.18956580276001347, 0.7584896049661334
2, 2, 10.15062268596432, 0.2067990575563783, 0.716661490399376
2, 3, 10.15062268596432, 0.2240323123527432, 0.7915564723531661
2, 4, 10.15062268596432, 0.24126556714910805, 0.6899457368833504
2, 5, 10.15062268596432, 0.2584988219454729, 0.6537180857473324
2, 6, 10.15062268596432, 0.2757320767418378, 0.6084151768391415
2, 7, 10.15062268596432, 0.29296533153820264, 0.5540223649341243
2, 8, 10.15062268596432, 0.3101985863345675, 0.5502373393962647
2, 9, 10.15062268596432, 0.3274318411309323, 0.5595816190571226
2, 10, 10.15062268596432, 0.3446650959272972, 0.5305351294570372
2, 11, 10.15062268596432, 0.3618983507236621, 0.5016081123273848
2, 12, 10.15062268596432, 0.37913160552002695, 0.4727926471830612
2, 13, 10.15062268596432, 0.3963648603163918, 0.4453394596387957
2, 14, 10.15062268596432, 0.4135981151127566, 0.367895851301063
2, 15, 10.15062268596432, 0.4308313699091215, 0.32224409214665806
2, 16, 10.15062268596432, 0.4480646247054864, 0.2879490271333224
2, 17, 10.15062268596432, 0.46529787950185125, 0.24112536699041
2, 18, 10.15062268596432, 0.4825311342982161, 0.36554145415229355
2, 19, 10.15062268596432, 0.49976438909458093, 0.3288939573057703
3, 0, 10.996507909794682, 0.1723325479636486, 0.7980603592997725
3, 1, 10.996507909794682, 0.18956580276001347, 0.7298523271265374
3, 2, 10.996507909794682, 0.2067990575563783, 0.5215028125529011
3, 3, 10.996507909794682, 0.2240323123527432, 0.5158793481852083
3, 4, 10.996507909794682, 0.24126556714910805, 0.6559673613141697
3, 5, 10.996507909794682, 0.2584988219454729, 0.4438960377967631
3, 6, 10.996507909794682, 0.2757320767418378, 0.41866989825104906
3, 7, 10.996507909794682, 0.29296533153820264, 0.40758606447928997
3, 8, 10.996507909794682, 0.3101985863345675, 0.3675452511770153
3, 9, 10.996507909794682, 0.3274318411309323, 0.3479476491321185
3, 10, 10.996507909794682, 0.3446650959272972, 0.4122458940316968
3, 11, 10.996507909794682, 0.3618983507236621, 0.29382651490181033
3, 12, 10.996507909794682, 0.37913160552002695, 0.2672816276840081
3, 13, 10.996507909794682, 0.3963648603163918, 0.260834622539203
3, 14, 10.996507909794682, 0.4135981151127566, 0.2132991614082583
3, 15, 10.996507909794682, 0.4308313699091215, 0.18913202261033787
3, 16, 10.996507909794682, 0.4480646247054864, 0.23870473879782086
3, 17, 10.996507909794682, 0.46529787950185125, 0.28738502674911404
3, 18, 10.996507909794682, 0.4825311342982161, 0.2636867218354192
3, 19, 10.996507909794682, 0.49976438909458093, 0.24050051895017682
4, 0, 11.842393133625041, 0.1723325479636486, 0.5653487163831027
4, 1, 11.842393133625041, 0.18956580276001347, 0.5431801456606312
4, 2, 11.842393133625041, 0.2067990575563783, 0.5185651402091211
4, 3, 11.842393133625041, 0.2240323123527432, 0.5338223907698373
4, 4, 11.842393133625041, 0.24126556714910805, 0.44128138610237333
4, 5, 11.842393133625041, 0.2584988219454729, 0.48980695849450123
4, 6, 11.842393133625041, 0.2757320767418378, 0.3253763326641672
4, 7, 11.842393133625041, 0.29296533153820264, 0.30257929164951874
4, 8, 11.842393133625041, 0.3101985863345675, 0.27559231417272406
4, 9, 11.842393133625041, 0.3274318411309323, 0.33774031926561704
4, 10, 11.842393133625041, 0.3446650959272972, 0.2819422560671598
4, 11, 11.842393133625041, 0.3618983507236621, 0.256632796114203
4, 12, 11.842393133625041, 0.37913160552002695, 0.17723119589634143
4, 13, 11.842393133625041, 0.3963648603163918, 0.17981265678629135
4, 14, 11.842393133625041, 0.4135981151127566, 0.1571857365300391
4, 15, 11.842393133625041, 0.4308313699091215, 0.18870715030644652
4, 16, 11.842393133625041, 0.4480646247054864, 0.1817496987001171
4, 17, 11.842393133625041, 0.46529787950185125, 0.08816674687054557
4, 18, 11.842393133625041, 0.4825311342982161, 0.13013729980485145
4, 19, 11.842393133625041, 0.49976438909458093, 0.10974746556751079
5, 0, 12.688278357455403, 0.1723325479636486, 0.4039604313695463
